env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu
gpu_05,12,8,15.71,1,4.0,1,1.0,256,0.4755,0.4729,0.4725,0.4729,12,16.295353278166772,6.0,1,256
gpu_05,12,8,15.71,1,4.0,2,2.0,32,0.0446,0.0461,0.0496,0.0461,24,2.0369191597708465,4.0,2,32
gpu_05,12,8,15.71,1,4.0,2,2.0,64,0.0961,0.0798,0.0774,0.0798,24,4.073838319541693,4.0,2,64
gpu_05,12,8,15.71,1,4.0,2,2.0,128,0.1483,0.1522,0.1474,0.1483,24,8.147676639083386,4.0,2,128
gpu_05,12,8,15.71,1,4.0,2,2.0,256,0.2853,0.2992,0.2867,0.2867,24,16.295353278166772,4.0,2,256
gpu_05,12,8,15.71,1,4.0,4,4.0,32,0.0353,0.0348,0.0354,0.0353,48,2.0369191597708465,2.4,4,32
gpu_05,12,8,15.71,1,4.0,4,4.0,64,0.0648,0.0623,0.0647,0.0647,48,4.073838319541693,2.4,4,64
gpu_05,12,8,15.71,1,4.0,4,4.0,128,0.1266,0.1131,0.1413,0.1266,48,8.147676639083386,2.4,4,128
gpu_05,12,8,15.71,1,4.0,4,4.0,256,0.2642,0.2677,0.2482,0.2642,48,16.295353278166772,2.4,4,256
gpu_06,24,24,15.36,1,7.96,0,,32,0.0776,0.0622,0.0536,0.0622,0,2.0833333333333335,24.0,0,32
gpu_06,24,24,15.36,1,7.96,0,,64,0.099,0.117,0.1163,0.1163,0,4.166666666666667,24.0,0,64
gpu_06,24,24,15.36,1,7.96,0,,128,0.184,0.2316,0.1888,0.1888,0,8.333333333333334,24.0,0,128
gpu_06,24,24,15.36,1,7.96,0,,256,0.4052,0.418,0.3954,0.4052,0,16.666666666666668,24.0,0,256
gpu_06,24,24,15.36,1,7.96,1,,32,0.0542,0.0604,0.0728,0.0604,24,2.0833333333333335,12.0,1,32
gpu_06,24,24,15.36,1,7.96,1,,64,0.1125,0.1064,0.1204,0.1125,24,4.166666666666667,12.0,1,64
gpu_06,24,24,15.36,1,7.96,1,,128,0.2017,0.2234,0.1701,0.2017,24,8.333333333333334,12.0,1,128
gpu_06,24,24,15.36,1,7.96,1,,256,0.3888,0.3309,0.407,0.3888,24,16.666666666666668,12.0,1,256
gpu_06,24,24,15.36,1,7.96,2,,32,0.0427,0.0294,0.0283,0.0294,48,2.0833333333333335,8.0,2,32
gpu_06,24,24,15.36,1,7.96,2,,64,0.0614,0.0603,0.0803,0.0614,48,4.166666666666667,8.0,2,64
gpu_06,24,24,15.36,1,7.96,2,,128,0.1321,0.1078,0.1095,0.1095,48,8.333333333333334,8.0,2,128
gpu_06,24,24,15.36,1,7.96,2,,256,0.2089,0.2085,0.2717,0.2089,48,16.666666666666668,8.0,2,256
gpu_06,24,24,15.36,1,7.96,4,,32,0.0428,0.0582,0.0282,0.0428,96,2.0833333333333335,4.8,4,32
